"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
61,"NCT04363346","Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia",,"Recruiting","No Results Available","COVID-19","Drug: FT516","Number of participants with Dose Limiting Toxicity Events|The time in days from the 1st FT516 infusion to the elimination of viral shedding in nasal pharyngeal and stool samples|The time in days from the 1st FT516 infusion to discontinued need for supplemental oxygen|The time in days from the 1st FT516 infusion to hospital discharge","Masonic Cancer Center, University of Minnesota","All","18 Years to 76 Years   (Adult, Older Adult)","Phase 1","12","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IDIM-2020-28708|2020LS083","May 14, 2020","January 2022","January 2022","April 27, 2020",,"May 18, 2020","University of Minnesota, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04363346"
62,"NCT04345601","Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease)",,"Not yet recruiting","No Results Available","Sars-CoV2|Acute Respiratory Distress Syndrome|COVID-19","Biological: Mesenchymal Stromal Cells|Other: Supportive Care","Treatment-related serious adverse events (tSAEs)|Change in clinical status at day 14","Baylor College of Medicine|Center for Cell and Gene Therapy, Baylor College of Medicine|The Methodist Hospital System","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-47561 MSC for COVID-19","August 2020","May 2022","May 2022","April 14, 2020",,"July 31, 2020","Houston Methodist Hospital, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04345601"
63,"NCT04530474","Outpatient Use of Ivermectin in COVID-19",,"Not yet recruiting","No Results Available","Covid19","Drug: Ivermectin Pill|Drug: Placebo","Clinical Improvement","Temple University","All","18 Years and older   (Adult, Older Adult)","Phase 3","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","1285242","October 1, 2020","June 30, 2021","December 31, 2021","August 28, 2020",,"August 28, 2020","Temple University Hospital, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04530474"
64,"NCT04343755","Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection",,"Recruiting","No Results Available","COVID-19","Biological: Convalescent Plasma","For patients hospitalized for COVID-19 but not intubated|Primary objective for patients with COVID-19 already intubated|Duration of hospitalization|Duration of mechanical ventilation|Time to symptoms resolution|Overall survival|Rate of virologic clearance by nasopharyngeal swab at day 10|Impact of donor titers level on efficacy|Impact of donor titers level on safety|Recipient Anti-SARS-CoV2 titer assessment on days 0 (pre-infusion),3,10,30, 60","Hackensack Meridian Health","All","18 Years and older   (Adult, Older Adult)","Phase 2","55","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro2020-0375","April 9, 2020","April 2021","April 2021","April 13, 2020",,"July 16, 2020","Hackensack University Medical Center, Hackensack, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04343755"
65,"NCT04445285","Phase 2 Trial Using rhDNase to Reduce Mortality in COVID-19 Patients With Respiratory Failure","DAMPENCOVID","Recruiting","No Results Available","Covid19","Drug: Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase)|Drug: 0.9%sodium chloride","Mortality at 28 days|Systemic Therapeutic Response|Respiratory Response|Legnth of ICU Stay|Legnth of Hospital Stay|Pulmonary Function","Jon Simmons|University of South Alabama","All","18 Years and older   (Adult, Older Adult)","Phase 2","44","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","USAH 1002 000","April 28, 2020","November 30, 2020","February 28, 2021","June 24, 2020",,"August 21, 2020","University of South Alabama, Mobile, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04445285"
66,"NCT04338074","TXA and Corona Virus 2019 (COVID19) in Outpatients","TCOutpatient","Recruiting","No Results Available","COVID-19","Drug: Tranexamic acid tablets|Drug: Placebo oral tablet","Hospitalization","University of Alabama at Birmingham","All","19 Years and older   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TXACOVID1","June 1, 2020","December 15, 2020","December 31, 2020","April 8, 2020",,"June 12, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04338074"
67,"NCT04472611","Colchicine/Statins for the Prevention of COVID-19 Complications (COLSTAT) Trial","COLSTAT","Not yet recruiting","No Results Available","SARS-CoV-2","Drug: Standard of Care (SOC) and Colchicine+Rosuvastatin","COVID 19 Severity","Yale University","All","18 Years and older   (Adult, Older Adult)","Phase 3","466","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2000027950","August 1, 2020","August 1, 2021","August 1, 2022","July 15, 2020",,"July 31, 2020","Yale New Haven Hosptial System, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04472611"
68,"NCT04373161","Home Pulse Oximeter Use in Patients With COVID-19",,"Completed","No Results Available","Sars-CoV2|COVID-19|COVID","Device: Home Pulse Oximetry Monitoring","Hospitalization in COVID-19 patients with low home SpO2|Trend in resting home pulse oximetry readings|Timing of SpO2 <92%|Home pulse oximeter use effect on subsequent ED visits|Reason for return to the Emergency Department|Hospitalization outcome - morbidity|Hospitalization outcome - mortality|Median Length of Stay","Swedish Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","209","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2020032301","March 20, 2020","April 22, 2020","April 22, 2020","May 4, 2020",,"May 6, 2020","Swedish Hospital, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04373161"
69,"NCT04409873","Antiseptic Mouthwash / Pre-Procedural Rinse on SARS-CoV-2 Load (COVID-19)","AMPoL","Not yet recruiting","No Results Available","COVID-19|SARS-CoV 2|Severe Acute Respiratory Syndrome Coronavirus 2|Virus Disease|Coronavirus Infections|Pharyngeal Diseases","Drug: Oral-B Mouth Sore mouthwash|Drug: Crest Pro-Health Multi-Protection mouthwash|Drug: CloSYS mouthwash|Drug: Distilled water|Drug: Listerine Mouthwash Product","Change in SARS-Cov-2 viral load|Change in self-reported clinical symptom onset|Change in healthcare utilization and hospitalization","University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Supportive Care","20-30874|R00RG2901","October 1, 2020","March 31, 2021","August 31, 2021","June 1, 2020",,"September 18, 2020","University Of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04409873"
70,"NCT04415151","Tofacitinib for Treatment of Moderate COVID-19","I-TOMIC","Recruiting","No Results Available","COVID-19","Drug: Tofacitinib 10 mg|Drug: Placebo","Disease Severity|Clinical improvement|Time to recovery|Time to clinical improvement|Clinical status|Mortality|Mechanical Ventilatory Support|Mechanical Ventilatory Support Duration|Freedom from mechanical ventilation|Adverse events|Additional intervention|Viral titer","Yale University","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2000027848","July 29, 2020","March 31, 2021","March 31, 2021","June 4, 2020",,"October 8, 2020","Yale New Haven Health System, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04415151"
71,"NCT04388527","COVID-19 Convalescent Plasma for Mechanically Ventilated Population",,"Recruiting","No Results Available","Covid-19","Biological: COVID-19 Convalescent Plasma","Participants with serious adverse events.|Time to clinical improvement.|Clinical status assessment, using 8-point ordinal scale, of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Clinical status assessment using the National Early Warning Score (NEWS) of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Incidence of new oxygenation use up to Day 29 of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Duration of new oxygen use up to Day 29 of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Oxygen-free days of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Non-invasive ventilation/high flow oxygen days up to Day 29 of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Incidence of non-invasive ventilation/high flow oxygen up to Day 29 of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Duration of non-invasive ventilation/high flow oxygen up to Day 29 of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Ventilator/ECMO free days to Day 29 of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Incidence of new mechanical ventilation or ECMO use of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Duration of new mechanical ventilation or ECMO use of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006.|Duration of hospitalization of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006|Mortality of convalescent plasma administration as compared to placebo recipients in DMID Protocol Number: 20-0006|Cumulative incidence of SAEs through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Cumulative incidence of Grade 3 and Grade 4 clinical and/or laboratory adverse events through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Changes in WBC with differential through day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Changes in hemoglobin measurement through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Changes in platelets measurement through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006..|Changes in creatinine measurement through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006..|Changes in glucose measurement through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Changes in bilirubin measurement through Day 29 of convalescent plasma administration as compared to matched participants form the control arm of DMID Protocol No. 20-0006..|Changes in ALT measurement laboratory adverse events through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Changes in AST measurement through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.|Changes in PT measurement laboratory adverse events through Day 29 of convalescent plasma administration as compared to matched participants from the control arm of DMID Protocol No. 20-0006.","University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","842996 (PennCCP-01)","April 30, 2020","December 31, 2020","March 31, 2021","May 14, 2020",,"September 17, 2020","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04388527"
72,"NCT04542421","Lung Ultrasound Implementation in the Management of Patients Hospitalized With COVID-19",,"Recruiting","No Results Available","Covid19","Diagnostic Test: Lung ultrasound use in patients hospitalized with COVID","Adoption of lung ultrasound by hospitalists caring for patients with COVID|Percentage of patients with COVID who receive a lung ultrasound|Chest x-ray utilization|Adequacy of Lung ultrasound images, interpretation and clinical decision-making as measured by a lung ultrasound expert|Inpatient mortality","University of Colorado, Denver","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","20-0781","July 1, 2020","July 1, 2021","December 1, 2021","September 9, 2020",,"September 28, 2020","University of Colorado, Denver, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT04542421"
73,"NCT04374552","Asymptomatic COVID-19 Trial","ACT","Not yet recruiting","No Results Available","SARS-CoV-2 Infection","Drug: Hydroxychloroquine sulfate &Azithromycin|Drug: Placebo","The primary outcome is the rate of decline in viral load over the 10 days after randomization","Rutgers, The State University of New Jersey","All","20 Years and older   (Adult, Older Adult)","Phase 2","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Pro2020000872","May 5, 2020","November 2020","April 2021","May 5, 2020",,"May 5, 2020","Robert Wood Johnson University Hospital, New Brunswick, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04374552"
74,"NCT04458363","Convalescent Plasma in Pediatric COVID-19",,"Recruiting","No Results Available","COVID","Biological: Convalescent Plasma (CP)|Drug: Standard COVID-19 therapies","Number of grade 3-5 adverse events that are possible, probably or definitely related to the convalescent plasma (CP) infusion|Change in percent of supplemental oxygen|Number of patients that required change in level of respiratory support|Mortality|Mean length of ICU stay (days)|Mean length of hospital stay (days)|Mean length of ventilation (days)|Number of patients with progression to renal dysfunction and/or multisystem organ failure|IL-6 level|Number of anti-SARS CoV 2 specific T cells|Diversity of circulating T cells|ARS-CoV-2 Antibody Titer|SARS-CoV-2 Neutralizing Titer","Emory University","All","up to 22 Years   (Child, Adult)","Early Phase 1","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00000789","July 2020","June 2022","June 2022","July 7, 2020",,"July 7, 2020","Children's Healthcare of Atlanta, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04458363"
75,"NCT04363437","COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19","COMBATCOVID19","Recruiting","No Results Available","Coronavirus Infection","Drug: Colchicine|Drug: Usual Care","Percentage of Patients requiring supplemental oxygen beyond 8L nasal cannula|Percentage of patients who will require mechanical ventillation|Hospital length of stay|Mortality|Maximum CRP|Maximum troponin elevation","Maimonides Medical Center","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-04-12","April 26, 2020","May 31, 2020","June 14, 2020","April 27, 2020",,"May 8, 2020","Maimonides Medical Center, Brooklyn, New York, United States",,"https://ClinicalTrials.gov/show/NCT04363437"
76,"NCT04335123","Study of Open Label Losartan in COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Losartan","Number of participants with treatment-related adverse events as assessed by protocol definition of AE|Number of days on supplemental oxygen in respiratory failure due to COVID-19|Incidence of mechanical ventilation use|Days on mechanical ventilation|Incidence of non-invasive positive pressure ventilation or heated high flow nasal cannula use|Days on non-invasive positive pressure ventilation or high flow nasal cannula|Incidence of transfer to ICU from non-ICU hospital bed|ICU length of stay (days)|30-day mortality rate|Hospital length of stay (days)|Cumulative incidence of severe adverse events|Cumulative incidence of adverse events|Change from baseline in oxygenation|Incidence of medications with possible antiviral activity (hydroxychloroquine, lopinavir/ritonavir, ribavirin or remdesivir) or adjunctive therapy use (e.g., tocilizumab)|Incidence (and length in days) of extracorporeal membrane oxygenation use|Incidence (and length in days) of renal replacement therapy use|Intolerance of high dose (50mg) losartan after tolerating 25mg","University of Kansas Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00145514","March 25, 2020","September 2020","October 2020","April 6, 2020",,"April 24, 2020","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT04335123"
77,"NCT04519411","Transpulmonary Pressure Measurements in Intubated Children With Covid-19 Respiratory Failure",,"Recruiting","No Results Available","COVID 19","Diagnostic Test: Transpulmonary pressure measurements","Transpulmonary pressure","Mayo Clinic","All","up to 17 Years   (Child)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","20-003743","May 21, 2020","December 31, 2020","January 31, 2021","August 19, 2020",,"August 19, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04519411"
78,"NCT04347538","Impact of Nasal Saline Irrigations on Viral Load in Patients With COVID-19",,"Recruiting","No Results Available","COVID 19","Other: Saline Nasal Irrigation|Other: Saline with Baby Shampoo Nasal Irrigation","Change in SARS-CoV-2 mucosal immune response in the nasopharynx|Change in microbial load in the nasopharynx|Change in Viral Load in the nasopharynx over the course of COVID-19 infection|Symptom assessment|Temperature assessment","Vanderbilt University Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","200693","May 1, 2020","June 2021","June 2022","April 15, 2020",,"August 26, 2020","Vanderblt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04347538"
79,"NCT04435522","Maraviroc in Patients With Moderate and Severe COVID-19",,"Recruiting","No Results Available","COVID","Drug: Maraviroc","Rate of Completion|Clinical improvement at Day 7|Change in Chitinase 3-like 1(Chi3l1) (ng/mL)|Change in Interleukin-6 (IL-6) (pg/mL)|Change in CCL5 (RANTES) (ng/mL)|Mortality|Time to Discharge|Days on mechanical ventilation","Rhode Island Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 1","16","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1611471-1","September 21, 2020","December 31, 2020","January 2021","June 17, 2020",,"September 25, 2020","Rhode Island Hospital, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT04435522"
80,"NCT04359329","Estrogen Patch for COVID-19 Symptoms",,"Recruiting","No Results Available","COVID","Drug: Estradiol patch","Rate of Hospitalization|Rate of Transfer to Intensive Care Unit|Rate of Intubation|Rate of Death","Sharon Nachman|Stony Brook University","All","18 Years and older   (Adult, Older Adult)","Phase 2","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SBU-EstrogenPatch-COVID19","April 20, 2020","November 15, 2020","November 15, 2020","April 24, 2020",,"April 24, 2020","Stony Brook University Hospital, Stony Brook, New York, United States",,"https://ClinicalTrials.gov/show/NCT04359329"
81,"NCT04333225","Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers",,"Active, not recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine","Rate of COVID-19 positive conversion|Time-to-first clinical event","Baylor Research Institute","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","228","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","020-132","April 3, 2020","July 30, 2020","July 30, 2020","April 3, 2020",,"May 5, 2020","Baylor University Medical Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04333225"
82,"NCT04406389","Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial)","IMPACT","Recruiting","No Results Available","COVID-19","Drug: Enoxaparin sodium|Drug: Unfractionated heparin|Drug: Fondapariniux|Drug: Argatroban","30-day mortality|Length of Intensive Care Unit (ICU) Stay in Days|Number of documented venous thromboembolism (VTE), arterial thrombosis (stroke, myocardial infarction, other) and microthrombosis events|Number of major and clinically relevant non-major bleeding events","Weill Medical College of Cornell University","All","18 Years and older   (Adult, Older Adult)","Phase 4","186","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-04021936","October 13, 2020","December 2020","June 2021","May 28, 2020",,"October 20, 2020","Weill Cornell Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04406389"
83,"NCT04345653","Hydroxychloroquine as Chemoprevention for COVID-19 for High Risk Healthcare Workers",,"Active, not recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine Sulfate (HCQ)","Recruitment Feasibility|Recourse utilization|Safety as reflected on the number and severity of adverse events and serious adverse events|Early feasibility as reflected on the number of participants contracting COVID-19 (10% or less) in comparison to the expected 30% as per CDC.|Effect of basic inflammatory regulation","Hackensack Meridian Health","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","44","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Pro2020-0356","April 14, 2020","June 5, 2020","April 8, 2021","April 14, 2020",,"June 9, 2020","Hackensack Meridian Health - JFK Medical Center, Edison, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04345653"
84,"NCT04402970","Dornase Alfa for ARDS in Patients With SARS-CoV-2","DORNASESARS2","Recruiting","No Results Available","SARS-CoV 2|ARDS","Drug: Dornase Alfa Inhalation Solution","Improvement in PaO2/FiO2|Change in static lung compliance|Duration of mechanical ventilation|Length of ICU stay|Length of hospitalization|Secondary bacterial infections|Mortality","University of Missouri-Columbia","All","18 Years and older   (Adult, Older Adult)","Phase 3","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","2022206","June 19, 2020","May 31, 2021","May 31, 2022","May 27, 2020",,"June 26, 2020","University of Missouri Hospital and Clinics, Columbia, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04402970"
85,"NCT04385901","Long Term Functional Outcomes of COVID-19 Patients Treated by Rehabilitation Services viaTelehealth",,"Recruiting","No Results Available","SARS-CoV 2|SARS Pneumonia","Behavioral: Therapy Intervention","Change in 6 Minute Walk Test|Change in Short Form 35 (SF-36) Questionnaire|Change in Strength testing|Change in Peak Flow Meter Test","University of Missouri-Columbia","All","18 Years and older   (Adult, Older Adult)","Not Applicable","72","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COVID19Recovery","May 19, 2020","April 19, 2022","April 19, 2022","May 13, 2020",,"June 5, 2020","Missouri Orthopedic Institute, Columbia, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04385901"
86,"NCT04479358","Low-dose Tocilizumab Versus Standard of Care in Hospitalized Patients With COVID-19","COVIDOSE-2","Recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Other: Standard of Care","Time to Recovery|Achievement of Recovery|Overall Survival|Hospital Length of Stay|Clinical Response: Maximum Temperature (Tmax) Response|Clinical Response: Rate of Non-Elective Invasive Mechanical Ventilation|Clinical Response: Duration of Non-Elective Invasive Mechanical Ventilation|Clinical Response: Time to Non-Elective Invasive Mechanical Ventilation|Clinical Response: Rate of Vasopressor/Inotrope Utilization|Clinical Response: Duration of Vasopressor/Inotrope Utilization|Clinical Response: Time to Vasopressor/Inotrope Utilization|Clinical Response: Duration of Increased Supplemental Oxygen from Baseline|Biochemical Response: C-reactive Protein Response Rate|Safety: Rate of Secondary Infection","University of Chicago","All","18 Years and older   (Adult, Older Adult)","Phase 2","332","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB20-1179","September 10, 2020","December 1, 2020","March 1, 2021","July 21, 2020",,"September 23, 2020","University of Chicago Medicine, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04479358"
87,"NCT04401423","TXA127 for the Treatment of Severe COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: TXA127|Drug: Placebo","Change of serum creatinine|Number of participants requiring intubation and ventilatory support|Change in number of deceased participants|Number of participants requiring dialysis|Number of participants requiring a vasopressors|Change in blood inflammatory markers|Percent change in supplemental oxygen requirements","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","AAAT0535","August 2020","June 2021","December 2021","May 26, 2020",,"August 20, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04401423"
88,"NCT04506268","COVID-19 SAFE Enrollment","COVID SAFE","Enrolling by invitation","No Results Available","Covid19","Behavioral: Opt-out Recruitment Email|Behavioral: Opt-in Recruitment Email","Proportion Enrolled|Participant Age|Participant Sex|Participant Race/Ethnicity|Participant Income|Participant Education|Test Completion","University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Screening","843565","September 9, 2020","October 9, 2020","November 2020","August 10, 2020",,"September 11, 2020","Penn Medicine, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04506268"
